Business Name (DBA),Address1,Address2,City,State,Zip,Community Board,NAICS Code,Number of Worker-Owners,Number of Non-Member Worker-Owners,Subtype,Borough,Latitude,Longitude,City Council,Census Tract,BIN,BBL,NTA
Bed-Stuy Fresh and Local,210 Patchen Avenue,,Brooklyn,NY,11233,3 BROOKLYN,Supermarkets and Other Grocery (except Convenience) Stores,2,2,Coaching,BROOKLYN,40.683661,-73.92623,36,383,3338081,3016720042,Stuyvesant Heights
Bed-Stuy Fresh and Local,210 Patchen Avenue,,Brooklyn,NY,11233,3 BROOKLYN,Supermarkets and Other Grocery (except Convenience) Stores,2,2,Succession Planning,BROOKLYN,40.683661,-73.92623,36,383,3338081,3016720042,Stuyvesant Heights
Beyond Care Child Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Child Day Care Services,39,,Bookkeeping,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Beyond Care Child Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Child Day Care Services,39,,Business Plan Development,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Beyond Care Child Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Child Day Care Services,39,,Financial Planning,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Beyond Care Child Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Child Day Care Services,39,,Market Research,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Beyond Care Child Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Child Day Care Services,39,,Organizational Planning,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Beyond Care Child Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Child Day Care Services,39,,Strategic Planning,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Beyond Care Child Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Child Day Care Services,39,,Succession Planning,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Beyond Care Child Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Child Day Care Services,39,,,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Bikes and Humans,,,,,,,Sporting Goods Stores,,,Coaching,,,,,,,,
Bio-Classic Cleaning,1231 Lafayette Ave,,Bronx,NY,10474,2 BRONX,Janitorial Services,4,,Bookkeeping,BRONX,40.816486,-73.890277,17,93,2005939,2027390015,Hunts Point
